"VaR","ES"
-0.0112469547228888,-0.0185142092044502
-0.011945407013384,-0.019039142710773
-0.0130443807675336,-0.0199078425741975
-0.0123511605145311,-0.0201447184368792
-0.0119127943655284,-0.0196052794727289
-0.0116619767461239,-0.0191647390181039
-0.011898827480426,-0.0203996745802279
-0.0120597401429357,-0.0198857059564848
-0.0118869086500556,-0.0193435403943352
-0.0118256299910909,-0.0188123520365401
-0.0116282527521304,-0.0184854167337872
-0.0113897774625704,-0.0181050127723235
-0.0114168629734155,-0.0186817440412684
-0.012428417672263,-0.01916288686931
-0.0116150110003065,-0.0191270341749922
-0.0139798037127679,-0.0216890971345409
-0.0136193043793311,-0.0216068100609122
-0.013374284412106,-0.0210097310393952
-0.0129530339417164,-0.0204797857559101
-0.0126501324656773,-0.0212779861218031
-0.0127666178793517,-0.0215787426479219
-0.0144067776908664,-0.0215393249600224
-0.0137373208129446,-0.0227080984732533
-0.0133819485720706,-0.0214803153653625
-0.0133281206832304,-0.0220886442307608
-0.0130754540434697,-0.0209401268781763
-0.0141106078855566,-0.0228732678487167
-0.014474115282177,-0.0221995918427107
-0.0133856063930133,-0.0219050254272369
-0.0131010113294877,-0.0216506740424583
-0.0126720371003609,-0.020721006970394
-0.0123863444800715,-0.0198961367781026
-0.011886354273537,-0.0194431681738184
-0.0120703502705203,-0.02041162891869
-0.0119166532852449,-0.0199092333409915
-0.0119974072215809,-0.0200381190199017
-0.0116981251370122,-0.0192013381732481
-0.011972644127312,-0.0196600555251423
-0.0118211706555334,-0.0197028656670817
-0.0123201088052278,-0.0195131143134362
-0.0123721159157029,-0.0206725423826987
-0.0125967818744499,-0.0198713033735925
-0.0119265089744875,-0.0195158534543647
-0.0121346818583541,-0.0193406425352091
-0.011630709539856,-0.0191497648414176
-0.0113804278646991,-0.0190787852183969
-0.0111669513862577,-0.018377743839844
-0.011190019466447,-0.0186026072538491
-0.0120232756375931,-0.0199013924134547
-0.0126138061406076,-0.0202890374588261
-0.0122258938613292,-0.0196639080510338
-0.012407127978352,-0.0193372913845133
-0.0122978452920155,-0.0206421591813678
-0.0124398833126372,-0.019639660053121
-0.0125446199726439,-0.0196231538653689
-0.0121615292865105,-0.0208786026065289
-0.0122605790202828,-0.0198526359702166
-0.0116384306313827,-0.0192393091404078
-0.0119176617250411,-0.0200256039402668
-0.0118317618461691,-0.0198846075855522
-0.011608046635053,-0.0195693272433205
-0.0113819084005024,-0.0188046588504688
-0.0118691581567681,-0.0202031072082107
-0.0120517402274329,-0.0199921800914408
-0.0118926996449145,-0.0193492593152333
-0.0116610479346223,-0.0193409674020229
-0.0118391138697752,-0.0191890663300141
-0.0117521056087854,-0.0198191345029682
-0.0120016956143163,-0.0189381437092515
-0.0115550773285974,-0.0191084791472728
-0.0123964921793588,-0.0192016989146681
-0.0116890505752875,-0.0190183335080606
-0.0114497760578361,-0.0184787846441753
-0.0112444284553211,-0.0186806251636348
-0.0108873737880651,-0.0180085376406352
-0.0111137896259123,-0.0179430047948753
-0.0111309272562657,-0.0175967091754596
-0.0105966553900242,-0.0176703538963035
-0.0115426950829251,-0.0187129935377663
-0.0110044642498585,-0.0182784187723707
-0.0112206819321319,-0.0189259687081746
-0.0112476584466718,-0.0185892863190849
-0.0111652735696411,-0.0179112117656474
-0.0117724831413052,-0.0183197992909413
-0.0124606438007855,-0.0213809538060668
-0.013796357603543,-0.0233241474114905
-0.014912265546971,-0.0224056538971161
-0.0140777442095121,-0.0219787020526206
-0.0139370561322327,-0.0218219941110587
-0.0142824924676238,-0.0219113714759001
-0.0137092468953638,-0.02161997293244
-0.0134333739083842,-0.0210376195178959
-0.0128491835671568,-0.0206535221117402
-0.0123603364213132,-0.0199675371016117
-0.0120852650026399,-0.020063324359096
-0.013234214177975,-0.020338711640361
-0.0124778380324024,-0.0202020891724569
-0.0125678649532061,-0.0199345264602576
-0.012056758403586,-0.0195025823486121
-0.0125457206275558,-0.0193373363202765
-0.0118239663363053,-0.0199199436104092
-0.0122262276735326,-0.0193577360859259
-0.0116271181570943,-0.019309462181427
-0.0117261063345751,-0.0185535391459316
-0.011299210318649,-0.0182868275851534
-0.0108299874927746,-0.0179576604312742
-0.0108531260818337,-0.0173730394868912
-0.010382051113706,-0.0175583464627491
-0.0112344495216899,-0.0175780835935561
-0.0110947589953791,-0.0182945126682913
-0.0109770184242663,-0.0183559273867885
-0.0116178631632682,-0.0198713302732876
-0.0116642502972621,-0.019622620908026
-0.0114957800749795,-0.0187796500101563
-0.0112858492120062,-0.0184998909756653
-0.0110832147582588,-0.0181662477075458
-0.0109083927929231,-0.017642636058062
-0.011129566364209,-0.0177298095806794
-0.0113154209128623,-0.0195918845583051
-0.0115670982883461,-0.018729723945167
-0.0115730895093317,-0.0182146464191298
-0.0111219941583198,-0.0179984603478065
-0.0113007990804749,-0.0195474917249101
-0.0115420041511066,-0.0184038022985115
-0.0111055357292095,-0.0179314560864474
-0.0107231058803147,-0.01744177914571
-0.0102787048265881,-0.0170112731965867
-0.00996765504456423,-0.0165448700595956
-0.00977364846908057,-0.0161464081970928
-0.0112925222735852,-0.0179358631109053
-0.0106942849242646,-0.0178408529601446
-0.0106306994878308,-0.0175136586120484
-0.0102693388582073,-0.0172118219454243
-0.011013234328852,-0.0174565790253784
-0.0104795295637289,-0.0172781124566633
-0.0106563389782667,-0.0169835674468067
-0.0101727965542909,-0.0168045974711971
-0.0100625195484237,-0.016521502975186
-0.00999307142685234,-0.0169046217582408
-0.00981751675947184,-0.0165277379679406
-0.0104403740870345,-0.0172111570496301
-0.0108230924620903,-0.0174269459041633
-0.0103428756170488,-0.0172688282056244
-0.0119602019253792,-0.0184311171239346
-0.0112065866103304,-0.0184437151441455
-0.0117702723362704,-0.0181401133428367
-0.0109488234481289,-0.0180383947660594
