"VaR","ES"
-0.0163707944954511,-0.0218240198352806
-0.0166964569575739,-0.0218171361631348
-0.0168373869616939,-0.0215111527171942
-0.0165182457480767,-0.0212161492541194
-0.0157420875554535,-0.0208291325061454
-0.0153240249660855,-0.0212691127253218
-0.0153593605661161,-0.0203783871825441
-0.0149299198450187,-0.0203051340089104
-0.0158118460501756,-0.0218373326029548
-0.0174700025452948,-0.022168252299893
-0.0166142877929775,-0.0219849426283374
-0.0183150037560723,-0.0237855009778013
-0.017829497419058,-0.023006278823082
-0.0168704109566338,-0.0224135953594875
-0.0165212864768484,-0.0217179818353834
-0.0160605660059326,-0.0209880250776957
-0.0154586554261505,-0.0202902960689014
-0.0147983811946909,-0.0200732547804276
-0.0146060823695017,-0.0193450265056074
-0.0146523881969562,-0.0190827069149387
-0.0140868034960733,-0.018811674403248
-0.0135868311285799,-0.0183534618528744
-0.0148061119341685,-0.0203624548747476
-0.0150730295541674,-0.0196189130900037
-0.0145535843583398,-0.0194752580524796
-0.015212015124162,-0.0212042304011568
-0.015682312168393,-0.0208053068539099
-0.0153088617536655,-0.021093668377902
-0.014940544864237,-0.0204372497994038
-0.015187786141037,-0.0209071763769629
-0.0155473808525912,-0.0201506362872244
-0.0146546416791798,-0.0197950995323779
-0.0146348993948116,-0.0193250011831862
-0.014416729967382,-0.0193881852258735
-0.0142774203832215,-0.0188130088583478
-0.0138097032566828,-0.0187722989410762
-0.013809558331852,-0.0183689847823755
-0.0162767327279919,-0.0219768588269387
-0.0165725141071023,-0.0222679238948508
-0.0161777213905599,-0.0211878380590033
-0.0154151031812052,-0.0204581349405439
-0.0152893499148179,-0.0200070020891007
-0.0147323617486127,-0.0196032165855002
-0.0146568610586116,-0.0195448410444033
-0.0143902721245424,-0.019114761747727
-0.0138522482444839,-0.0186652244279284
-0.0135125282715314,-0.018621787849145
-0.0133441378526178,-0.0181315812772466
-0.0129330562307518,-0.0177318108397211
-0.0130910355287634,-0.018153482559
-0.0141839115797545,-0.0188621786039377
-0.0141298477638949,-0.0186518913012452
-0.0133893402561044,-0.0181889442481245
-0.013757761157935,-0.0182475922250916
-0.0132114417236749,-0.0179273215009212
-0.0129953372855903,-0.0179721311042065
-0.0137014087337425,-0.0179274393934754
-0.013787615018185,-0.0193918032759394
-0.013757889855604,-0.0187192773128997
-0.0138756550898462,-0.0188974637696234
-0.0142068002957987,-0.0187355931678845
-0.0157294920821774,-0.0202936090806806
-0.0157624490263751,-0.0217930875742706
-0.0153709288577878,-0.0207536937757528
-0.0150421604583547,-0.0198260624337085
-0.0143616648205845,-0.0196790567414901
-0.0157928735879726,-0.0214896959096267
-0.015804103796103,-0.0216412563592348
-0.0163808499782211,-0.0207784827844913
-0.0153456454667974,-0.0205724143793011
-0.0164001148857239,-0.0228859365068955
